track,or_number,status,title,abstract,primary_area,secondary_area
Extended_Abstracts,2,pending,Heterogeneous Time Constants Improve Stability in Equilibrium Propagation,"Equilibrium propagation (EP) is a biologically plausible alternative to backpropagation for training neural networks. However, existing EP models use a uniform scalar time step dt, which corresponds biologically to a membrane time constant that is heterogeneous across neurons. Here, we introduce heterogeneous time steps (HTS) for EP by assigning neuron-specific time constants drawn from biologically motivated distributions. We show that HTS improves training stability while maintaining competitive task performance. These results suggest that incorporating heterogeneous temporal dynamics enhances both the biological realism and robustness of equilibrium propagation.",artificial intelligence / machine learning,
Extended_Abstracts,3,pending,Humans automatically assign credit to outcome-irrelevant features,"Adaptive behavior depends on correctly assigning credit to the features of an action that caused a reward while ignoring those that did not. Nevertheless, recent work shows that humans also assign credit to features of their actions that are explicitly known to be outcome-irrelevant. Here, we tested the neural basis of this phenomenon by combining EEG and computational modeling of behavior. Forty participants performed a reinforcement learning task in which rewards depended only on card identity, whereas cards’ spatial location was random and explicitly instructed as outcome-irrelevant. Replicating prior findings, rewards increased the likelihood of repeating the previously chosen location even when two different cards than before were offered. Using a computational model, we estimated feature-specific prediction errors for both outcome-relevant cards and outcome-irrelevant locations. Trial-level regression and cluster-based permutation analyses revealed that both prediction errors, as well as their interaction, were encoded in outcome-locked EEG activity. These results suggest that higher-level knowledge of the environment constrains learning less than previously assumed.",experimental neuroscience (systems / cognitive),computational cognitive science / cognitive modeling+psychological / behavioral research
Extended_Abstracts,4,pending,Beyond search: reframing problem solving through cached solutions,"A classical perspective in cognitive science characterizes problem solving as search over a well-defined representation. When representations are not given, they are assumed to be chosen through similar incremental search in the space of possible representations, guided by plan utility or collisions in simulation. Yet, for many naturalistic problems, the unboundedness of problem features often makes such search computationally intractable. Drawing on insights from naturalistic decision making and design cognition, we propose that humans instead rely on solution-driven strategies: candidate solutions are recalled and reused, thus determining which problem features must be represented. Across two experiments in different domains, increasing representational demands led participants to rely more on cached solutions, representing enough information to evaluate them while failing to identify the global optimum---even when such optimal solutions enabled representing less information. These results suggest that solution-driven reasoning plays a central role in problem solving under large-world complexity.",computational cognitive science / cognitive modeling,computational cognitive science / cognitive modeling+psychological / behavioral research
Extended_Abstracts,5,pending,Reconstructing subjective experiences across individuals from brain activity,"Subjective experiences are central to understanding how the brain represents mental contents and clinically relevant phenomena. However, decoding these mental contents remains challenging because it typically requires large amounts of subject-specific brain data. Functional alignment provides a potential solution by enabling decoding models to transfer across individuals through the alignment of brain activity patterns. Here, we investigate whether subjective contents can be decoded across individuals using functional alignment and image reconstruction. We trained a functional alignment model, called the neural code converter, on brain responses to natural images to establish inter-individual mappings of brain activity and then tested it on tasks involving visual illusion, attention, and imagery. The model successfully generalized to these subjective tasks, enabling inter-individual image reconstructions that preserved subjective contents comparable to within-individual decoding. Our approach provides a scalable framework for analyzing and externalizing subjective experiences across individuals.",computational cognitive science / cognitive modeling,artificial intelligence / machine learning+computational cognitive science / cognitive modeling+psychological / behavioral research
Extended_Abstracts,6,pending,Oscillation in Motion: Dissociable Periodic and Aperiodic EEG Markers of Baseline Cognition and Treatment Response Following Exercise in Schizophrenia Spectrum Disorders,"Schizophrenia Spectrum Disorders (SSD) are characterized by pervasive cognitive deficits, negative and positive symptoms, and long-term functional impairments, many of which are refractory to standard pharmacological treatments. These clinical features are mirrored by disruptions in cortical electrophysiology, reflecting a core imbalance in excitation–inhibition (E/I) dynamics. While exercise interventions have emerged as promising adjunctive therapies, capable of modulating cognition and clinical symptoms, the neurophysiological mechanisms underlying treatment response remain largely unclear.

In this study, we combined cross-sectional and longitudinal EEG assessments to investigate whether exercise influences periodic and aperiodic neural dynamics and whether these changes track cognitive and clinical recovery in SSD. We recruited 58 individuals with SSD (ICD-10: F2*) and 60 healthy controls (HC). All participants underwent baseline EEG assessments. Patients additionally participated in a 12-week randomized exercise intervention, consisting of either Aerobic Exercise Training (AET) or Strength and Balance Training (SBT), with follow-up EEG recordings conducted post-intervention (n = 42). Both exercise arms were combined a priori to streamline analyses and enhance statistical power, supported by prior evidence showing similar effects on EEG and behavioral outcomes. Cognitive function was assessed using the Brief Assessment of Cognition in Schizophrenia (BACS), and clinical symptoms were quantified using the Positive and Negative Syndrome Scale (PANSS).

EEG analyses focused on the aperiodic exponent as a proxy of cortical E/I balance, alongside individual alpha peak frequency (iAPF) and theta-band power as markers of cognitive processing. At baseline, patients exhibited localized occipital hyperexcitability, characterized by a flatter aperiodic exponent compared to HC. However, the higher a patient’s cognitive functioning was, the steeper was their global aperiodic exponent, suggesting that a degree of compensatory inhibitory tone may protect cognitive function.

Following the 12-week exercise intervention, longitudinal analyses revealed dissociable EEG changes associated with clinical versus cognitive improvement. General psychopathological recovery, as measured by PANSS general scores, corresponded to a global flattening of the aperiodic exponent, suggesting widespread E/I modulation. In contrast, cognitive gains were specifically related to regionally distinct and condition-specific EEG markers: parietal aperiodic steepening and frontal iAPF increases during eyes-closed rest. 

Overall, our findings demonstrate that periodic and aperiodic EEG metrics provide complementary, region- and state-specific insights into exercise-related neuroplasticity in SSD. Aperiodic slopes reflect global cortical E/I adaptations tracking clinical symptom improvement, whereas oscillatory markers such as iAPF index cognitive enhancements. This neurophysiological dissociation highlights distinct mechanistic pathways through which exercise confers therapeutic benefit, establishing a framework for monitoring treatment efficacy and guiding individualized interventions in SSD.",experimental neuroscience (systems / cognitive),psychological / behavioral research
Extended_Abstracts,7,pending,The negative relationship between cognitive ability and metacognitive accuracy is specific to memory domain,"This study examined whether the relationship between cognitive ability and metacognitive accuracy is domain-general or domain-specific using both meta-analysis and empirical evidence. The meta-analysis revealed an overall negative association between cognitive ability and metacognitive accuracy, with substantial variation across task domains: specifically, the effect was significantly more negative for memory than perceptual tasks. An empirical study confirmed this pattern, showing a robust negative correlation only in memory tasks, with non-significant correlations in perceptual and reasoning tasks. Direct comparisons of correlation coefficients further demonstrated that the negative association was significantly stronger in the memory domain. These findings indicate that the counterintuitive link between higher cognitive ability and lower metacognitive accuracy is specific to memory, rather than a general feature of metacognition.",psychological / behavioral research,
Extended_Abstracts,8,pending,Divergent effects of hierarchical perceptual features on confidence in humans and deep neural networks,"In perceptual decision-making, confidence can be shaped by perceptual features beyond their effects on accuracy. The present study tested a hierarchical weighting account in which confidence preferentially relies on features processed earlier in the visual hierarchy. Across three orientation discrimination experiments, we manipulated contrast, reliability, and boundary distance and measured confidence with a forced-choice paradigm. Human confidence showed a robust hierarchy: contrast had the strongest influence, reliability an intermediate influence, and boundary distance the weakest. Convolutional neural networks (CNNs) trained on the same tasks showed a human-like representational hierarchy, but their confidence was modulated differently and tracked accuracy more closely. These findings suggest that human confidence draws on hierarchical sensory representations but also relies on additional inferential processes beyond a direct perceptual readout.",psychological / behavioral research,artificial intelligence / machine learning
Extended_Abstracts,9,pending,Trace-Mediated Peak Bias: Bridging Temporal Credit Assignment and Cognitive Heuristics in Deep Reinforcement Learning,"Temporal credit assignment is central to both biological and artificial intelligence, yet its interaction with non-linear function approximation is poorly understood. We identify a systematic failure mode in deep reinforcement learning (RL) termed Trace-Mediated Peak Bias (TMPB). At intermediate eligibility trace depths, agents irrationally prefer trajectories with high-magnitude reward ""peaks'"" over alternatives with higher cumulative returns. This provides a mechanistic account of the Peak-End Rule: a human memory bias where experiences are judged by their most intense moments rather than integrated utility. We show that TMPB emerges because traces amplify distal Temporal Difference errors into ``gradient shocks'' that fixed-step-size Stochastic Gradient Descent cannot normalize, leading to global overestimation. Conversely, adaptive optimizers mitigate this pathology via second-moment normalization. Our results suggest that human-like saliency distortions may emerge naturally from the mathematical constraints of credit assignment in distributed systems, and that adaptive optimization is a theoretical necessity for rational value estimation.",artificial intelligence / machine learning,computational cognitive science / cognitive modeling
Extended_Abstracts,10,pending,Accurate and Interpretable Prediction of Antidepressant Treatment Response from Receptor-informed Neuroimaging,"Conventional antidepressants show moderate efficacy in treating major depressive disorder, underscoring the need for predictive tools to guide treatment selection. Here, we present graphTRIP (graph-based Treatment Response Interpretability and Prediction) -- a geometric deep learning architecture that enables three advances: 1) accurate prediction of post-treatment depression severity using only pretreatment clinical and neuroimaging data; 2) identification of robust biomarkers; and 3) causal analysis of treatment effects and underlying mechanisms. Trained on data from a clinical trial comparing psilocybin and escitalopram, graphTRIP achieves strong predictive accuracy ($r = 0.72$, $p=6.8\times 10^{-8}$), and shows clear generalization to both an independent dataset and across brain atlases. The model identifies stronger functional connectivity within sensory networks as a robust predictor of poorer response across both treatments. In contrast, causal analysis implicates frontoparietal and default mode networks as key moderators of differential response, with stronger 5-HT1A- and 5-HT2A-related signalling in the frontoparietal network predicting escitalopram response but psilocybin resistance. These results demonstrate the potential of combining geometric deep learning and causal modeling for precision psychiatry.",artificial intelligence / machine learning,theoretical / computational neuroscience+experimental neuroscience (systems / cognitive)
Extended_Abstracts,11,pending,Collision Avoidance and Food Distributions Shape Collective Fish Behavior,"Collective behaviors in biology are thought to emerge from simple local rules, but the ecological constraints shaping these rules are difficult to test experimentally. Here, we use multi-agent reinforcement learning to train recurrent neural network agents modeled after larval zebrafish in a collective foraging task. We show that agents trained in environments with patchy food distributions spontaneously aggregate, even in the absence of food, because conspecifics serve as informative cues about likely food locations. Furthermore, penalties associated with collisions drive avoidance: stronger penalties increase preferred nearest-neighbor distances. These results provide a normative account of how learned ecological and evolutionary priors shape collective behavior in fish-like agents, establishing a virtual laboratory for testing hypotheses about the origins of collective behavior.",theoretical / computational neuroscience,artificial intelligence / machine learning
